Movie Title,Release Year,Genre,IMDb Rating,Streaming Service,Runtime (in minutes),Age Rating,Production Country :,URL
We Live in Time,2025,"Drama, Romance",7.0,"amazon, itunes",108.0,,United Kingdom,https://www.justwatch.com/in/movie/we-live-in-time
My Fault,2023,"Drama, Romance",6.2,amazonprimevideo,117.0,A,Spain,https://www.justwatch.com/in/movie/culpa-mia
Kalinga,2024,Horror,8.0,"amazonprimevideo, aha",116.0,,India,https://www.justwatch.com/in/movie/kalinga-2024
Harry Potter and the Philosopher's Stone,2001,"Fantasy, Kids & Family",7.7,"jiocinema, itunes",152.0,U,"United States, United Kingdom",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
Devara Part 1,2024,"Action & Adventure, Drama, Mystery & Thriller",6.0,"bookmyshow, netflix",176.0,UA,India,https://www.justwatch.com/in/movie/ntr-30
K.G.F: Chapter 2,2022,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,"amazonprimevideo, amazon, vimoviesandtv",166.0,UA,India,https://www.justwatch.com/in/movie/k-g-f-chapter-2
Babygirl,2024,"Mystery & Thriller, Crime, Drama",6.6,,114.0,,"United States, Netherlands",https://www.justwatch.com/in/movie/babygirl-2024
Juror #2,2024,"Drama, Crime, Mystery & Thriller",7.0,"amazon, itunes",114.0,,United States,https://www.justwatch.com/in/movie/juror-2
Twisters,2024,"Mystery & Thriller, Action & Adventure",6.5,"amazon, jiocinema, itunes",123.0,UA,United States,https://www.justwatch.com/in/movie/twisters
Vettaiyan,2024,"Drama, Action & Adventure, Crime",7.1,"amazonprimevideo, amazon",163.0,UA,India,https://www.justwatch.com/in/movie/vettaiyan
Bhairathi Ranagal,2024,"Action & Adventure, Drama",7.3,amazonprimevideo,132.0,UA,India,https://www.justwatch.com/in/movie/bhairathi-ranagal
Conclave,2024,"Drama, Mystery & Thriller",7.4,,120.0,,"United Kingdom, United States",https://www.justwatch.com/in/movie/conclave
Wicked,2024,"Drama, Romance, Fantasy",7.8,"amazon, itunes, zee5, bookmyshow",161.0,,United States,https://www.justwatch.com/in/movie/wicked-2021-0
Moana 2,2024,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy",7.0,bookmyshow,100.0,,"Canada, United States",https://www.justwatch.com/in/movie/moana-2
Aavesham,2024,"Comedy, Action & Adventure",7.8,"amazonprimevideo, amazon, hotstar",158.0,,India,https://www.justwatch.com/in/movie/aavesham-2024
The Wolf of Wall Street,2013,"Drama, Comedy, Crime",8.2,"amazon, amazonlionsgateplay, lionsgateplay, appletvlionsgateplay",180.0,A,United States,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Queen of Hearts,2019,"Drama, Made in Europe",7.0,,127.0,,"Sweden, Denmark",https://www.justwatch.com/in/movie/queen-of-hearts-2019
Mura,2024,"Drama, Action & Adventure, Mystery & Thriller",7.3,amazonprimevideo,129.0,UA,India,https://www.justwatch.com/in/movie/mura
The Sabarmati Report,2024,"Mystery & Thriller, Drama",6.6,bookmyshow,127.0,UA,India,https://www.justwatch.com/in/movie/the-sabarmati-report
Gladiator,2000,"Action & Adventure, Drama",8.5,"hungamaplay, amazon, zee5, amazonprimevideo, itunes",155.0,,"United States, United Kingdom",https://www.justwatch.com/in/movie/gladiator
Sikandar Ka Muqaddar,2024,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.0,netflix,143.0,,India,https://www.justwatch.com/in/movie/sikandar-ka-muqaddar
Meiyazhagan,2024,"Drama, Kids & Family",8.4,netflix,177.0,U,India,https://www.justwatch.com/in/movie/meiyazhagan
Animal,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.1,netflix,201.0,A,India,https://www.justwatch.com/in/movie/animal-2022
Interstellar,2014,"Drama, Science-Fiction, Action & Adventure",8.7,"amazon, amazonprimevideo, jiocinema, itunes, tatasky, netflix",169.0,UA,"United States, United Kingdom, Canada",https://www.justwatch.com/in/movie/interstellar
Dune: Part Two,2024,"Science-Fiction, Action & Adventure, Drama",8.5,"amazon, jiocinema, itunes",167.0,UA,United States,https://www.justwatch.com/in/movie/dune-part-two
Alien: Romulus,2024,"Horror, Science-Fiction, Mystery & Thriller",7.1,"amazon, itunes, hotstar",119.0,A,"Hungary, Australia, New Zealand, Canada, United Kingdom, United States",https://www.justwatch.com/in/movie/alien-romulus
Mechanic Rocky,2024,"Drama, Action & Adventure",7.0,"amazonprimevideo, amazon",153.0,,India,https://www.justwatch.com/in/movie/mechanic-rocky-2024
K.G.F: Chapter 1,2018,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2,"amazonprimevideo, amazon, hotstar",156.0,UA,India,https://www.justwatch.com/in/movie/k-g-f-chapter-1
Laila Majnu,2018,"Drama, Romance",7.7,"netflix, vimoviesandtv",139.0,UA,India,https://www.justwatch.com/in/movie/laila-majnu
Bhool Bhulaiyaa 2,2022,"Horror, Comedy",5.7,netflix,143.0,UA,India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2
Y Tu Mamá También,2001,Drama,7.7,netflix,106.0,A,Mexico,https://www.justwatch.com/in/movie/y-tu-mama-tambien
Kalki 2898 AD,2024,"Drama, Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",7.1,"amazonprimevideo, amazon, netflix",180.0,UA,India,https://www.justwatch.com/in/movie/kalki-2898-ad
How to Make Millions Before Grandma Dies,2024,"Drama, Comedy",8.0,netflix,125.0,U,Thailand,https://www.justwatch.com/in/movie/how-to-make-millions-before-grandma-dies
UI,2024,"Fantasy, Mystery & Thriller, Science-Fiction",7.9,,132.0,UA,India,https://www.justwatch.com/in/movie/ui-2024
Dangal,2016,"Action & Adventure, Drama, Kids & Family, Comedy, Sport",8.3,"amazon, itunes",161.0,U,"India, United States",https://www.justwatch.com/in/movie/dangal
Black,2024,"Mystery & Thriller, Science-Fiction, Horror",7.1,"amazonprimevideo, amazon",150.0,UA,India,https://www.justwatch.com/in/movie/black-2024
28 Days Later,2002,"Mystery & Thriller, Science-Fiction, Horror, Drama",7.5,,113.0,A,United Kingdom,https://www.justwatch.com/in/movie/28-days-later
Fifty Shades of Grey,2015,"Romance, Mystery & Thriller, Drama",4.2,"jiocinema, zee5",125.0,,United States,https://www.justwatch.com/in/movie/fifty-shades-of-grey
Tumbbad,2018,"Fantasy, Horror, Mystery & Thriller, Drama, Made in Europe",8.2,,113.0,A,"Sweden, India",https://www.justwatch.com/in/movie/tumbbad
Smile 2,2024,"Horror, Mystery & Thriller",6.8,"amazon, itunes",127.0,,United States,https://www.justwatch.com/in/movie/smile-2
Maharaja,2024,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.4,netflix,141.0,,India,https://www.justwatch.com/in/movie/maharaja-2024
Martin,2024,"Action & Adventure, Drama, Mystery & Thriller",2.3,"amazonprimevideo, aha",147.0,UA,India,https://www.justwatch.com/in/movie/martin
