Genre,Count
Drama,8
Mystery,4
Thriller,4
Action,3
Adventure,3
Romance,2
Comedy,2
Reality,2
TV,2
Crime,1
Horror,1
Science-Fiction,1
Western,1
Kids,1
Family,1
